City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Diego De Almagro,CL,2020-10-21 19:29:31,-26.37,-70.05,81.14,21,0,14.34
249,Atasu,KZ,2020-10-21 19:34:01,48.68,71.64,47.17,63,100,9.06
250,Kolin,CZ,2020-10-21 19:34:02,50.03,15.2,52.0,81,68,4.7
251,Mafinga,TZ,2020-10-21 19:34:02,-7.25,35.07,76.06,48,99,10.87
252,Oistins,BB,2020-10-21 19:34:02,13.07,-59.53,87.8,66,20,12.75
253,Carnarvon,AU,2020-10-21 19:34:03,-24.87,113.63,66.2,72,90,13.87
254,Brae,GB,2020-10-21 19:34:03,60.4,-1.35,46.4,87,75,29.97
255,Husavik,IS,2020-10-21 19:34:04,66.04,-17.34,30.2,92,89,2.24
256,Margate,GB,2020-10-21 19:30:22,51.38,1.39,57.99,87,93,4.0
257,Oytal,KZ,2020-10-21 19:34:05,42.91,73.27,56.28,34,42,4.9
258,Sao Sebastiao,BR,2020-10-21 19:34:05,-23.76,-45.41,74.71,80,22,4.43
259,Nouadhibou,MR,2020-10-21 19:34:06,20.93,-17.03,71.6,88,40,18.34
260,Pisco,PE,2020-10-21 19:34:06,-13.7,-76.22,71.6,60,1,16.11
261,Gedo,ET,2020-10-21 19:34:06,9.02,37.45,50.22,81,0,3.38
262,Taoudenni,ML,2020-10-21 19:34:07,22.68,-3.98,85.39,14,65,8.88
263,Berlevag,NO,2020-10-21 19:34:07,70.86,29.09,21.2,92,54,12.75
264,Ouro Fino,BR,2020-10-21 19:34:08,-22.28,-46.37,72.66,77,11,7.45
265,Mogadishu,SO,2020-10-21 19:34:08,2.04,45.34,80.11,83,83,13.09
266,Senneterre,CA,2020-10-21 19:34:09,48.38,-77.23,37.4,100,90,5.82
267,Hambantota,LK,2020-10-21 19:29:20,6.12,81.12,78.8,100,1,8.05
268,Najran,SA,2020-10-21 19:34:10,17.49,44.13,73.4,30,0,2.33
269,Cabedelo,BR,2020-10-21 19:32:45,-6.98,-34.83,78.8,88,75,18.34
270,Loiza,PR,2020-10-21 19:34:11,18.43,-65.88,87.8,66,40,11.41
271,Houma,US,2020-10-21 19:29:51,29.6,-90.72,87.01,62,75,13.87
272,Sarkikaraagac,TR,2020-10-21 19:34:12,38.08,31.37,55.94,62,100,3.69
273,Tocopilla,CL,2020-10-21 19:34:12,-22.09,-70.2,67.28,52,24,9.57
274,Nizhnyaya Tavda,RU,2020-10-21 19:34:13,57.67,66.17,30.7,97,0,6.04
275,Carutapera,BR,2020-10-21 19:34:13,-1.2,-46.02,82.54,68,3,10.47
276,Oshogbo,NG,2020-10-21 19:34:14,7.77,4.57,74.73,84,43,2.01
277,Peterhead,GB,2020-10-21 19:34:14,57.51,-1.8,52.0,100,90,2.24
278,Belyy Yar,RU,2020-10-21 19:34:15,53.6,91.39,30.2,92,55,4.05
279,Sistranda,NO,2020-10-21 19:34:15,63.73,8.83,37.4,93,40,4.7
280,Luena,AO,2020-10-21 19:34:15,-11.78,19.92,68.61,66,69,3.36
281,Lagoa,PT,2020-10-21 19:34:16,39.05,-27.98,63.25,68,0,20.31
282,Madras,IN,2020-10-21 19:30:04,13.09,80.28,80.6,94,75,6.38
283,Sisimiut,GL,2020-10-21 19:34:17,66.94,-53.67,31.64,96,100,11.16
284,La Libertad,EC,2020-10-21 19:34:18,-2.23,-80.9,78.8,65,40,9.17
285,Seoni Malwa,IN,2020-10-21 19:34:18,22.45,77.47,72.66,51,0,4.12
286,Bocas Del Toro,PA,2020-10-21 19:34:19,9.33,-82.25,68.0,91,99,4.0
287,Diebougou,BF,2020-10-21 19:34:20,10.97,-3.25,84.78,42,34,3.58
288,Domoni,KM,2020-10-21 19:34:20,-12.26,44.53,78.17,71,0,4.25
289,Tvoroyri,FO,2020-10-21 19:34:21,61.56,-6.81,37.4,86,42,8.05
290,Batamshinskiy,KZ,2020-10-21 19:34:21,50.56,58.27,37.4,69,20,15.66
291,Rawson,AR,2020-10-21 19:30:49,-43.3,-65.1,63.91,35,99,29.21
292,Cadiz,ES,2020-10-21 19:34:22,36.5,-5.75,68.0,88,40,8.05
293,Damietta,EG,2020-10-21 19:34:22,31.42,31.81,77.0,69,2,12.75
294,Zhezkazgan,KZ,2020-10-21 19:34:23,47.8,67.71,45.46,53,100,13.78
295,Sanawad,IN,2020-10-21 19:34:23,22.18,76.07,77.0,69,1,1.95
296,Puerto Baquerizo Moreno,EC,2020-10-21 19:34:24,-0.9,-89.6,75.2,78,75,16.11
297,Booue,GA,2020-10-21 19:34:24,-0.09,11.94,73.8,86,99,2.17
298,Mayumba,GA,2020-10-21 19:34:25,-3.43,10.66,77.63,86,100,7.45
299,Immokalee,US,2020-10-21 19:30:55,26.42,-81.42,80.6,74,1,11.41
300,Sinnamary,GF,2020-10-21 19:34:26,5.38,-52.95,84.85,67,7,11.92
301,Riyadh,SA,2020-10-21 19:33:24,24.69,46.72,71.6,24,0,4.7
