City_ID,City,Country,Max_Temp,Weather_Description,Lat,Lng,Hotel Name
1193,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
1194,coos bay,US,51.8,clear sky,43.37,-124.22,Best Western Holiday Hotel
1195,ponta do sol,PT,64.4,few clouds,32.67,-17.1,Hotel do Campo
1196,saint-junien,FR,55.99,overcast clouds,45.88,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
1199,sabha,LY,63.77,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
1205,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1206,lompoc,US,60.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
1209,tasiilaq,GL,37.4,overcast clouds,65.61,-37.64,The Red House
1210,moletai,LT,51.01,mist,55.23,25.42,"Sodyba ""Dūriai"""
1211,panjab,AF,33.91,clear sky,34.39,67.02,
1212,donskoye,RU,46.4,clear sky,45.46,41.97,
1214,ribeira grande,PT,64.6,few clouds,38.52,-28.7,Quinta da Meia Eira
1217,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1218,brae,GB,44.6,overcast clouds,60.4,-1.35,Busta House Hotel
1219,egvekinot,RU,28.72,clear sky,66.32,-179.17,
1220,kaitangata,NZ,61.72,light rain,-46.28,169.85,Kaitangata Motor Camp
1221,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1222,port alfred,ZA,68.09,overcast clouds,-33.59,26.89,The Halyards Hotel
1224,lebu,CL,47.34,clear sky,-37.62,-73.65,Hostal Las Lilas
1226,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1228,albany,US,57.99,overcast clouds,42.6,-73.97,
1229,ancud,CL,46.0,broken clouds,-41.87,-73.82,Hotel Arena Gruesa
1231,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1236,jamestown,US,60.8,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
1238,beringovskiy,RU,39.27,broken clouds,63.05,179.32,Beringgorski
1239,rocha,UY,58.95,moderate rain,-34.48,-54.33,Beleza Pura B&B
1240,lebu,CL,47.34,clear sky,-37.62,-73.65,Hostal Las Lilas
1241,thompson,CA,26.6,light snow,55.74,-97.86,Burntwood Hotel
1242,tuktoyaktuk,CA,26.6,light snow,69.45,-133.04,End of The Road Ltd.
1243,wyndham,US,66.0,clear sky,37.7,-77.61,Hilton Richmond Hotel & Spa/Short Pump
1245,juneau,US,32.0,few clouds,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
1247,baruun-urt,MN,37.87,clear sky,46.68,113.28,Ахмадын амралт сувилал
1249,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1250,saint-augustin,CA,34.99,clear sky,51.23,-58.65,
1251,port alfred,ZA,68.09,overcast clouds,-33.59,26.89,The Halyards Hotel
1252,faya,SA,57.2,clear sky,18.39,42.45,مقبرة ال مجمل
1254,markova,UA,46.04,broken clouds,48.68,24.41,Kempinh
1255,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1256,terme,TR,51.8,scattered clouds,41.21,36.97,OTEL GÜVEN TERME
1259,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
1260,hanzhong,CN,63.93,broken clouds,33.07,107.03,Guorui Hotel
1262,mar del plata,AR,55.4,drizzle,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
1264,berlevag,NO,36.93,overcast clouds,70.86,29.09,Kvitbrakka
1265,east london,ZA,67.42,broken clouds,-33.02,27.91,Tu Casa
1266,komsomolskiy,UZ,50.0,light rain,40.43,71.72,Ikathouse
1267,ostrovnoy,RU,31.46,overcast clouds,68.05,39.51,
